Surface,Winner,Loser,WRank,LRank,Wsets,Lsets,Comment,upset,year
Hard,Giron M.,Gasquet R.,61,68,2,1,Completed,0,2023
Hard,Kecmanovic M.,O Connell C.,29,78,2,0,Completed,0,2023
Hard,Nishioka Y.,Rune H.,36,11,2,1,Completed,1,2023
Hard,Popyrin A.,Auger-Aliassime F.,120,6,2,0,Completed,1,2023
Hard,Halys Q.,Thompson J.,64,84,2,0,Completed,0,2023
Hard,Safiullin R.,Ymer M.,88,69,2,0,Completed,1,2023
Hard,Draper J.,Kwon S.W.,42,83,2,0,Completed,0,2023
Hard,Kokkinakis T.,Cressy M.,93,34,2,0,Completed,1,2023
Hard,Khachanov K.,Cachin P.,20,57,2,0,Completed,0,2023
Hard,Djokovic N.,Lestienne C.,5,65,2,0,Completed,0,2023
Hard,Sinner J.,Edmund K.,15,582,2,0,Completed,0,2023
Hard,Shapovalov D.,Hijikata R.,18,164,2,1,Completed,0,2023
Hard,Bautista Agut R.,Rublev A.,21,8,2,1,Completed,1,2023
Hard,Korda S.,Murray A.,33,49,2,0,Completed,0,2023
Hard,Khachanov K.,Draper J.,20,42,2,0,Completed,0,2023
Hard,Nishioka Y.,Mcdonald M.,36,63,2,0,Completed,0,2023
Hard,Medvedev D.,Kecmanovic M.,7,29,2,0,Completed,0,2023
Hard,Popyrin A.,Giron M.,120,61,2,1,Completed,1,2023
Hard,Shapovalov D.,Safiullin R.,18,88,2,0,Completed,0,2023
Hard,Djokovic N.,Halys Q.,5,64,2,0,Completed,0,2023
Hard,Korda S.,Bautista Agut R.,33,21,2,0,Completed,1,2023
Hard,Sinner J.,Kokkinakis T.,15,93,2,0,Completed,0,2023
Hard,Nishioka Y.,Popyrin A.,36,120,2,1,Completed,0,2023
Hard,Korda S.,Sinner J.,33,15,2,0,Completed,1,2023
Hard,Medvedev D.,Khachanov K.,7,20,2,0,Completed,0,2023
Hard,Djokovic N.,Shapovalov D.,5,18,2,0,Completed,0,2023
Hard,Djokovic N.,Medvedev D.,5,7,2,0,Completed,0,2023
Hard,Djokovic N.,Korda S.,5,33,2,1,Completed,0,2023
Hard,Bonzi B.,Tseng C.H.,60,115,2,0,Completed,0,2023
Hard,Carballes Baena R.,Zapata Miralles B.,74,72,2,0,Completed,1,2023
Hard,Mmoh M.,Dhamne M.,113,10000,2,0,Completed,0,2023
Hard,Griekspoor T.,Munar J.,95,58,2,0,Completed,1,2023
Hard,Djere L.,Molcan A.,70,50,2,0,Completed,1,2023
Hard,Cecchinato M.,Basilashvili N.,101,91,2,0,Completed,1,2023
Hard,Krajinovic F.,Nagal S.,54,503,2,1,Completed,0,2023
Hard,Van Rijthoven T.,Albot R.,111,103,2,0,Completed,1,2023
Hard,Marterer M.,Ymer E.,159,127,2,1,Completed,1,2023
Hard,Martinez P.,Ramanathan R.,62,435,2,1,Completed,0,2023
Hard,Karatsev A.,Andujar P.,59,121,2,0,Completed,0,2023
Hard,Cobolli F.,Mukund S.,171,340,2,0,Completed,0,2023
Hard,Marterer M.,Djere L.,159,70,2,0,Completed,1,2023
Hard,Karatsev A.,Van Rijthoven T.,59,111,2,0,Completed,0,2023
