name,surface,year,num_wins,num_losses,num_upsets,num_was_upset,sets_won,sets_lost,avg_sets_lost
abanda f.,Hard,2021,1,1,1,0,2,2,0
ahn k.,Grass,2021,2,1,1,0,4,4,1
aiava d.,Hard,2021,1,3,1,1,2,7,1
alexandrova e.,Clay,2021,6,5,2,1,13,11,0.16666666666666669
alexandrova e.,Clay,2022,10,5,3,1,22,12,0.2
alexandrova e.,Clay,2023,6,5,0,2,14,12,0.33333333333333337
alexandrova e.,Grass,2021,3,2,1,1,7,4,0
alexandrova e.,Grass,2022,6,1,2,0,13,3,0.16666666666666669
alexandrova e.,Grass,2023,7,1,3,0,14,3,0.14285714285714288
alexandrova e.,Hard,2021,13,13,3,8,30,29,0.23076923076923073
alexandrova e.,Hard,2022,16,12,5,6,37,32,0.5
alexandrova e.,Hard,2023,6,6,1,4,15,14,0.33333333333333337
alves c.,Clay,2023,1,1,1,0,2,3,1
andreescu b.,Clay,2021,2,1,0,1,5,2,0
andreescu b.,Clay,2022,6,4,5,0,13,10,0.33333333333333337
andreescu b.,Clay,2023,2,3,1,3,5,7,0.5
andreescu b.,Grass,2021,1,3,0,3,2,7,1
andreescu b.,Grass,2022,5,3,3,1,12,7,0.2
andreescu b.,Grass,2023,2,3,0,3,4,7,0.5
andreescu b.,Hard,2021,13,7,0,6,29,24,0.7692307692307693
andreescu b.,Hard,2022,7,5,6,0,16,14,0.5714285714285714
andreescu b.,Hard,2023,9,5,2,2,19,14,0.4444444444444444
andreeva e.,Clay,2022,1,2,1,0,2,4,0
andreeva e.,Hard,2023,2,3,1,0,6,7,0.5
andreeva m.,Clay,2023,5,2,5,0,11,4,0
anisimova a.,Clay,2021,4,5,0,1,11,11,0.25
anisimova a.,Clay,2022,12,4,6,1,27,12,0.33333333333333337
anisimova a.,Grass,2021,2,3,1,0,6,6,0
anisimova a.,Grass,2022,6,2,1,0,12,7,0.5
anisimova a.,Hard,2021,7,7,2,0,17,15,0.14285714285714288
anisimova a.,Hard,2022,14,6,8,3,30,18,0.42857142857142855
anisimova a.,Hard,2023,2,5,1,2,5,10,0
anshba a.,Clay,2021,1,1,1,0,2,2,0
arruabarrena l.,Clay,2021,2,4,1,2,4,9,0.5
avanesyan e.,Clay,2022,3,3,2,0,6,7,0.33333333333333337
avanesyan e.,Clay,2023,4,2,4,0,8,6,0.5
avanesyan e.,Grass,2023,2,1,2,0,4,4,1
azarenka v.,Clay,2021,4,1,0,1,9,4,0.5
azarenka v.,Clay,2022,6,3,0,2,13,8,0.33333333333333337
azarenka v.,Clay,2023,2,3,0,3,5,7,0.5
azarenka v.,Grass,2021,6,2,0,2,13,6,0.33333333333333337
azarenka v.,Grass,2023,1,2,0,2,2,4,0
azarenka v.,Hard,2021,17,6,4,1,37,16,0.23529411764705882
azarenka v.,Hard,2022,17,9,4,3,37,24,0.3529411764705882
azarenka v.,Hard,2023,11,7,2,5,26,17,0.2727272727272727
babos t.,Clay,2023,1,1,0,0,2,2,0
babos t.,Hard,2021,3,5,2,1,6,11,0.33333333333333337
badosa p.,Clay,2021,17,4,7,2,35,14,0.3529411764705882
badosa p.,Clay,2022,8,4,0,4,17,12,0.5
badosa p.,Clay,2023,11,4,3,0,24,11,0.2727272727272727
badosa p.,Grass,2021,3,2,3,0,7,6,0.6666666666666666
badosa p.,Grass,2022,3,2,0,2,6,4,0
badosa p.,Hard,2021,18,9,11,4,40,25,0.38888888888888895
badosa p.,Hard,2022,20,11,2,9,44,27,0.25
badosa p.,Hard,2023,5,4,0,0,12,9,0.2
baindl k.,Clay,2022,3,4,2,0,7,9,0.33333333333333337
baindl k.,Hard,2023,2,1,1,0,4,3,0.5
bandecchi s.,Clay,2022,1,1,1,0,2,2,0
baptiste h.,Clay,2021,2,2,2,0,4,4,0
baptiste h.,Clay,2022,1,1,1,0,2,2,0
baptiste h.,Clay,2023,1,1,1,0,2,2,0
baptiste h.,Hard,2021,1,3,1,0,4,6,0
baptiste h.,Hard,2022,2,5,1,0,8,11,0.5
bara i.,Clay,2021,2,5,1,3,6,12,1
bara i.,Clay,2022,2,3,0,0,5,7,0.5
bara i.,Grass,2022,1,1,1,0,2,2,0
bara i.,Hard,2021,1,4,1,0,4,9,1
barthel m.,Hard,2021,3,7,2,2,7,15,0.33333333333333337
barty a.,Clay,2021,14,2,0,2,29,11,0.5
barty a.,Grass,2021,7,0,0,0,14,2,0.2857142857142857
barty a.,Hard,2021,20,3,0,3,42,11,0.25
barty a.,Hard,2022,11,0,0,0,22,1,0.09090909090909088
begu i.,Clay,2021,1,4,0,2,3,8,0
begu i.,Clay,2022,12,5,4,2,25,15,0.41666666666666663
begu i.,Clay,2023,7,4,1,2,16,8,0
begu i.,Grass,2021,2,1,1,0,4,3,0.5
begu i.,Grass,2022,2,1,0,0,5,2,0
begu i.,Hard,2021,14,10,9,5,30,25,0.3571428571428571
begu i.,Hard,2022,10,9,6,4,25,22,0.4
begu i.,Hard,2023,5,6,2,3,12,14,0.4
bektas e.,Grass,2023,3,2,3,0,7,4,0
bencic b.,Clay,2021,5,6,0,6,11,13,0.2
bencic b.,Clay,2022,13,4,2,3,28,13,0.38461538461538464
bencic b.,Clay,2023,4,2,1,1,9,5,0.25
bencic b.,Grass,2021,5,3,0,3,11,8,0.4
bencic b.,Grass,2022,6,2,1,2,13,8,0.6666666666666666
bencic b.,Hard,2021,16,9,1,9,34,23,0.3125
bencic b.,Hard,2022,19,11,1,9,45,29,0.3684210526315789
bencic b.,Hard,2023,15,4,2,3,31,12,0.2666666666666667
berberovic n.,Clay,2022,1,1,1,0,2,3,1
bertens k.,Clay,2021,1,2,0,2,3,4,0
birrell k.,Clay,2023,1,2,0,1,3,4,0
birrell k.,Grass,2023,1,1,0,0,2,2,0
birrell k.,Hard,2021,2,3,2,0,4,7,0.5
birrell k.,Hard,2022,1,1,1,0,2,3,1
birrell k.,Hard,2023,3,3,3,0,6,7,0.33333333333333337
bjorklund m.,Clay,2022,2,2,1,1,4,4,0
bjorklund m.,Clay,2023,1,1,1,0,2,3,1
bjorklund m.,Hard,2023,3,3,2,0,6,8,0.6666666666666666
blinkova a.,Clay,2021,1,5,0,3,2,11,1
blinkova a.,Clay,2023,8,5,2,3,17,13,0.375
blinkova a.,Grass,2021,2,2,0,0,4,5,0.5
blinkova a.,Grass,2022,1,0,1,0,2,1,1
blinkova a.,Grass,2023,3,2,0,1,7,6,0.6666666666666666
blinkova a.,Hard,2021,1,9,0,6,5,19,1
blinkova a.,Hard,2022,6,4,5,2,12,12,0.6666666666666666
blinkova a.,Hard,2023,7,7,4,4,17,15,0.14285714285714288
bogdan a.,Clay,2021,4,5,2,2,12,10,0
bogdan a.,Clay,2022,9,5,5,1,21,12,0.2222222222222222
bogdan a.,Clay,2023,2,3,0,1,6,7,0.5
bogdan a.,Grass,2022,1,1,1,0,2,2,0
bogdan a.,Grass,2023,1,2,1,0,3,5,1
bogdan a.,Hard,2021,3,7,1,1,9,15,0.33333333333333337
bogdan a.,Hard,2022,3,3,2,2,7,9,1
bogdan a.,Hard,2023,2,4,1,3,6,8,0
bolsova a.,Clay,2021,1,2,0,2,2,5,1
bolsova a.,Clay,2023,1,2,0,0,2,4,0
bolsova a.,Hard,2021,2,6,1,0,7,13,0.5
bonaventure y.,Clay,2021,2,2,2,1,4,6,1
bonaventure y.,Hard,2021,1,3,0,0,2,6,0
bonaventure y.,Hard,2022,3,2,3,0,7,4,0
bonaventure y.,Hard,2023,7,8,4,2,16,22,0.8571428571428571
bondar a.,Clay,2021,2,1,1,0,4,3,0.5
bondar a.,Clay,2022,10,8,3,3,22,17,0.1
bondar a.,Clay,2023,2,4,2,0,5,8,0
bondar a.,Hard,2022,5,9,1,3,14,19,0.2
bondar a.,Hard,2023,2,6,1,3,6,13,0.5
bondarenko k.,Hard,2021,1,1,1,0,3,3,1
bouchard e.,Clay,2023,2,2,2,0,5,5,0.5
bouchard e.,Hard,2021,4,3,3,0,8,7,0.25
bouchard e.,Hard,2022,3,4,3,0,9,8,0
boulter k.,Grass,2021,4,1,3,0,9,3,0.25
boulter k.,Grass,2022,7,4,7,0,15,11,0.42857142857142855
boulter k.,Grass,2023,5,2,0,0,10,4,0
boulter k.,Hard,2021,4,8,4,1,10,18,0.5
boulter k.,Hard,2022,2,3,2,0,6,7,0.5
